ASV,Species,Genus,AOB,NOB,PAO,GAO,Filamentous
ASV4151,,g__midas_g_1341,na,na,na,na,na
newASV372,s__midas_s_1465,g__midas_g_1465,na,na,na,na,na
ASV2460,s__midas_s_19846,g__midas_g_19846,na,na,na,na,na
ASV1732,s__midas_s_22102,g__midas_g_22102,na,na,na,na,na
ASV8657,s__midas_s_3137,g__midas_g_3137,na,na,na,na,na
ASV1539,s__midas_s_3339,g__midas_g_3339,na,na,na,na,na
ASV14652,s__midas_s_33620,g__midas_g_33620,na,na,na,na,na
newASV22,s__midas_s_6364,g__midas_g_4375,na,na,na,na,na
ASV3459,,g__midas_g_44976,na,na,na,na,na
ASV2804,s__midas_s_5146,g__midas_g_4686,na,na,na,na,na
ASV5163,,g__midas_g_5463,na,na,na,na,na
ASV3104,s__midas_s_5639,g__midas_g_5639,na,na,na,na,na
newASV286,s__midas_s_59172,g__midas_g_59172,na,na,na,na,na
ASV578,s__midas_s_2745,g__midas_g_731,na,na,na,na,na
ASV36121,,,na,na,na,na,na
newASV304,,,na,na,na,na,na
ASV11290,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV9703,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV24244,s__midas_s_7050,g__Enterococcus,na,na,na,na,var
ASV2933,s__midas_s_3423,g__Kouleothrix,na,na,neg,neg,pos
ASV5049,s__midas_s_2027,g__Nannocystis,na,na,na,na,neg
ASV1094,s__midas_s_361,g__Nitrospira,var,pos,neg,neg,neg
ASV2528,s__midas_s_3480,g__midas_g_1676,na,na,na,na,na
ASV3532,,g__midas_g_201,na,na,na,na,na
ASV15489,s__midas_s_26841,g__midas_g_22396,na,na,na,na,na
ASV1488,s__midas_s_5914,g__midas_g_5914,na,na,na,na,na
